x,y,u
0.7500000000,0.8000000000,1.3946024749
0.8000000000,0.8000000000,1.4679866402
0.8500000000,0.8000000000,1.5457377543
0.9000000000,0.8000000000,1.6275762215
0.9500000000,0.8000000000,1.7127859733
1.0000000000,0.8000000000,1.8000000000
0.0000000000,0.8500000000,0.8500000000
0.0500000000,0.8500000000,0.8543368769
0.1000000000,0.8500000000,0.8619815201
0.1500000000,0.8500000000,0.8746285469
0.2000000000,0.8500000000,0.8928029216
0.2500000000,0.8500000000,0.9164696991
0.3000000000,0.8500000000,0.9453948139
0.3500000000,0.8500000000,0.9793128058
0.4000000000,0.8500000000,1.0179946588
0.4500000000,0.8500000000,1.0612716453
0.5000000000,0.8500000000,1.1090419467
0.5500000000,0.8500000000,1.1612716453
0.6000000000,0.8500000000,1.2179946589
0.6500000000,0.8500000000,1.2793128059
0.7000000000,0.8500000000,1.3453948139
0.7500000000,0.8500000000,1.4164696991
0.8000000000,0.8500000000,1.4928029217
0.8500000000,0.8500000000,1.5746285469
0.9000000000,0.8500000000,1.6619815201
0.9500000000,0.8500000000,1.7543368769
1.0000000000,0.8500000000,1.8500000000
0.0000000000,0.9000000000,0.9000000000
0.0500000000,0.9000000000,0.8925800141
0.1000000000,0.9000000000,0.8913844353
0.1500000000,0.9000000000,0.8979919914
0.2000000000,0.9000000000,0.9121268005
0.2500000000,0.9000000000,0.9330785859
0.3000000000,0.9000000000,0.9601674353
0.3500000000,0.9000000000,0.9928544496
0.4000000000,0.9000000000,1.0307474110
0.4500000000,0.9000000000,1.0735833639
0.5000000000,0.9000000000,1.1212116857
0.5500000000,0.9000000000,1.1735833640
0.6000000000,0.9000000000,1.2307474111
0.6500000000,0.9000000000,1.2928544497
0.7000000000,0.9000000000,1.3601674354
0.7500000000,0.9000000000,1.4330785859
0.8000000000,0.9000000000,1.5121268006
0.8500000000,0.9000000000,1.5979919914
0.9000000000,0.9000000000,1.6913844353
0.9500000000,0.9000000000,1.7925800141
1.0000000000,0.9000000000,1.9000000000
0.0000000000,0.9500000000,0.9500000000
0.0500000000,0.9500000000,0.9245987442
0.1000000000,0.9500000000,0.9129842156
0.1500000000,0.9500000000,0.9138281829
0.2000000000,0.9500000000,0.9246337031
0.2500000000,0.9500000000,0.9435504087
0.3000000000,0.9500000000,0.9693418919
0.3500000000,0.9500000000,1.0011901463
0.4000000000,0.9500000000,1.0385571719
0.4500000000,0.9500000000,1.0811027137
0.5000000000,0.9500000000,1.1286380682
0.5500000000,0.9500000000,1.1811027137
0.6000000000,0.9500000000,1.2385571719
0.6500000000,0.9500000000,1.3011901463
0.7000000000,0.9500000000,1.3693418919
0.7500000000,0.9500000000,1.4435504086
0.8000000000,0.9500000000,1.5246337031
0.8500000000,0.9500000000,1.6138281829
0.9000000000,0.9500000000,1.7129842156
0.9500000000,0.9500000000,1.8245987442
1.0000000000,0.9500000000,1.9500000000
0.0000000000,1.0000000000,1.0000000000
0.0500000000,1.0000000000,0.9428307471
0.1000000000,1.0000000000,0.9221254999
0.1500000000,1.0000000000,0.9197028215
0.2000000000,1.0000000000,0.9290294204
0.2500000000,1.0000000000,0.9471474538
0.3000000000,1.0000000000,0.9724595773
0.3500000000,1.0000000000,1.0040070716
0.4000000000,1.0000000000,1.0411884166
0.4500000000,1.0000000000,1.0836322509
0.5000000000,1.0000000000,1.1311351595
0.5500000000,1.0000000000,1.1836322509
0.6000000000,1.0000000000,1.2411884165
0.6500000000,1.0000000000,1.3040070716
0.7000000000,1.0000000000,1.3724595772
0.7500000000,1.0000000000,1.4471474537
0.8000000000,1.0000000000,1.5290294203
0.8500000000,1.0000000000,1.6197028215
0.9000000000,1.0000000000,1.7221254999
0.9500000000,1.0000000000,1.8428307471
1.0000000000,1.0000000000,2.0000000000
